year,week_of_year,calls_offered_last_year,calls_offered_avg_last_year,year,week_of_year,calls_handled,calls_abandoned,avg_speed_answer,avg_handle_time,avg_talk,avg_acw,service_level,avg_abandon_time,max_wait_time,day_of_year,day_of_week,calls_offered_last_year,calls_offered_avg_last_year,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,week_day_Monday,week_day_Saturday,week_day_Sunday,week_day_Thursday,week_day_Tuesday,week_day_Wednesday,calls_offered_actual,calls_offered_predicted
2024,27,898.0,0.057692307692307696,2024,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,5,898.0,0.057692307692307696,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.5038225585026055
2023,38,836.0,0.09433962264150944,2023,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,5,836.0,0.09433962264150944,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0,0.08487995844424745
2022,44,0.0,0.0,2022,44,959.0,10.0,31.0,640.0,535.5,103.93,95.47,342.5,601.0,300,3,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,978.0,978.7896180670109
2022,34,0.0,0.0,2022,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,5,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.31400546532705675
2023,22,0.0,1358.25,2023,22,140.0,3.0,56.5,557.0,506.0,50.835,0.8859,96.5,658.5,149,0,0.0,1358.25,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,152.0,147.68495626087508
2022,14,0.0,0.0,2022,14,1559.0,112.0,115.5,586.5,503.5,82.84,74.54,145.0,768.5,89,2,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1683.0,1683.4638184386786
2023,46,0.0,0.0,2023,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,6,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.0,0.2073374332941853
2023,41,1091.0,1205.7115384615386,2023,41,709.0,8.0,34.0,612.0,508.5,103.575,0.9493,55.5,572.0,285,3,1091.0,1205.7115384615386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,725.0,724.8015794783007
2023,9,1349.0,1205.7115384615386,2023,9,1238.0,86.0,113.0,529.5,455.0,73.865,79.52,293.0,1472.0,61,3,1349.0,1205.7115384615386,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1347.0,1336.880237721422
2022,41,0.0,0.0,2022,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,5,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.2009303547665695
